country,date,inflation_rate,interest_rate,oil_price,gdp_growth,unemployment_rate,money_supply_m2,exchange_rate_usd,food_price_index,supply_chain_index
USA,2020-01,0.33,5.76,34.44,0.34,5.97,10558.0,69.95,94.29,3.66
USA,2020-02,4.12,4.33,44.75,0.02,5.8,6952.0,71.03,78.6,3.91
USA,2020-03,2.75,4.24,52.8,0.3,7.45,10244.0,71.0,102.91,3.7
USA,2020-04,4.36,4.52,39.19,2.28,5.23,9989.0,83.52,110.92,3.23
USA,2020-05,2.73,3.17,41.09,3.05,5.96,7982.0,70.1,86.53,3.94
USA,2020-06,4.33,5.65,40.67,3.01,6.29,11775.0,67.8,93.77,3.79
USA,2020-07,4.49,3.86,39.11,3.17,6.8,12359.0,73.06,89.62,3.29
USA,2020-08,3.77,8.13,43.98,-0.34,6.1,10676.0,68.13,99.39,4.25
USA,2020-09,4.24,3.26,44.52,-0.08,7.24,8931.0,71.77,97.88,3.51
USA,2020-10,2.68,6.13,45.79,1.85,6.19,10629.0,72.39,106.73,3.63
USA,2020-11,3.15,5.1,46.37,0.71,6.21,4690.0,72.72,104.53,3.35
USA,2020-12,2.52,4.74,29.89,-1.85,5.43,12808.0,73.71,90.07,3.03
USA,2021-01,3.66,4.49,63.41,0.85,5.58,12051.0,73.31,113.4,1.5
USA,2021-02,2.88,3.95,58.5,4.77,7.41,12701.0,70.1,123.92,1.11
USA,2021-03,3.49,5.63,65.07,2.02,5.63,14755.0,68.85,116.49,1.96
USA,2021-04,3.49,4.37,60.85,0.23,5.64,10646.0,77.16,115.56,1.81
USA,2021-05,4.45,4.55,83.64,-0.88,7.19,10286.0,70.15,122.99,2.77
USA,2021-06,2.28,4.93,82.17,-0.43,7.05,12864.0,76.03,123.25,1.61
USA,2021-07,0.83,6.02,62.49,2.85,6.94,12694.0,73.87,101.32,1.0
USA,2021-08,2.54,5.96,62.28,3.08,8.73,10473.0,68.18,110.94,1.94
USA,2021-09,4.04,4.62,60.37,1.75,6.74,11092.0,76.18,105.48,1.99
USA,2021-10,1.52,5.46,66.58,2.18,6.63,9871.0,74.18,127.63,1.04
USA,2021-11,3.2,5.82,80.57,0.08,7.38,12919.0,71.12,119.05,1.53
USA,2021-12,2.8,6.19,72.57,2.01,7.33,12918.0,74.19,119.88,1.51
USA,2022-01,3.01,3.9,92.71,2.42,4.97,12396.0,74.64,102.12,1.0
USA,2022-02,4.88,6.31,111.2,2.76,6.05,11196.0,82.09,107.29,1.05
USA,2022-03,3.46,5.2,130.45,4.6,4.87,12036.0,67.21,115.56,1.91
USA,2022-04,5.68,5.07,134.92,-0.72,6.45,11237.0,74.72,132.66,1.33
USA,2022-05,2.81,3.47,90.1,2.03,7.37,10246.0,69.91,119.81,2.42
USA,2022-06,5.2,6.3,108.42,5.15,5.37,8880.0,73.55,115.34,1.0
USA,2022-07,3.44,4.81,116.07,3.79,5.63,11514.0,78.03,101.03,1.95
